#      lambda(um)  nuLnu(Lsun)
       17.778164   8.3690669e+09
       17.829301   8.4060469e+09
       17.880584   8.4223674e+09
       17.932015   8.4040596e+09
       17.983594   8.3767652e+09
       18.035321   8.3597310e+09
       18.087197   8.3568021e+09
       18.139222   8.3649340e+09
       18.191397   8.3810453e+09
       18.243722   8.4013564e+09
       18.296197   8.4259726e+09
       18.348824   8.4542128e+09
       18.401602   8.4854741e+09
       18.454531   8.5173379e+09
       18.507613   8.5511542e+09
       18.560847   8.5869277e+09
       18.614235   8.6244451e+09
       18.667776   8.6607498e+09
       18.721471   8.6980196e+09
       18.775321   8.7365053e+09
       18.829325   8.7760966e+09
       18.883485   8.8151009e+09
       18.937801   8.8548867e+09
       18.992273   8.8955571e+09
       19.046901   8.9370837e+09
       19.101687   8.9755606e+09
       19.156630   9.0143448e+09
       19.211731   9.0539099e+09
       19.266991   9.0942776e+09
       19.322410   9.1343325e+09
       19.377988   9.1751656e+09
       19.433726   9.2168902e+09
       19.489624   9.2595310e+09
       19.545683   9.3008949e+09
       19.601904   9.3427790e+09
       19.658286   9.3856061e+09
       19.714830   9.4293866e+09
       19.771537   9.4718487e+09
       19.828407   9.5148702e+09
       19.885440   9.5588256e+09
       19.942638   9.6037159e+09
       20.000000   9.6483858e+09
       20.183664   9.7959176e+09
       20.417379   9.9937557e+09
       20.653802   1.0221094e+10
       20.892961   1.0458013e+10
       21.134890   1.0710028e+10
       21.379621   1.0972059e+10
       21.627185   1.1254381e+10
       21.877616   1.1549883e+10
       22.130947   1.1854275e+10
       22.387211   1.2163681e+10
       22.646443   1.2491263e+10
       22.908677   1.2841611e+10
       23.173946   1.3217261e+10
       23.442288   1.3605058e+10
       23.713737   1.4002757e+10
       23.988329   1.4412086e+10
       24.266101   1.4842960e+10
       24.547089   1.5283580e+10
       24.831331   1.5743018e+10
       25.118864   1.6209083e+10
       25.409727   1.6691273e+10
       25.703958   1.7189276e+10
       26.001596   1.7696753e+10
       26.302680   1.8223097e+10
       26.607251   1.8754785e+10
       26.915348   1.9302129e+10
       27.227013   1.9866015e+10
       27.542287   2.0445472e+10
       27.861212   2.1030658e+10
       28.183829   2.1630506e+10
       28.510183   2.2233935e+10
       28.840315   2.2851080e+10
       29.174270   2.3479256e+10
       29.512092   2.4109551e+10
       29.853826   2.4751408e+10
       30.199517   2.5392054e+10
       30.549211   2.6038883e+10
       30.902954   2.6694217e+10
       31.260794   2.7347813e+10
       31.622777   2.8006585e+10
       31.988951   2.8663525e+10
       32.359366   2.9322339e+10
       32.734069   2.9979427e+10
       33.113112   3.0641652e+10
       33.496544   3.1298278e+10
       33.884416   3.1948016e+10
       34.276779   3.2600198e+10
       34.673685   3.3251136e+10
       35.075187   3.3878223e+10
       35.481339   3.4515891e+10
       35.892193   3.5144564e+10
       36.307805   3.5762775e+10
       36.728230   3.6360467e+10
       37.153523   3.6964537e+10
       37.583740   3.7556865e+10
       38.018940   3.8126696e+10
       38.459178   3.8688516e+10
       38.904514   3.9235502e+10
       39.355008   3.9770784e+10
       39.810717   4.0284591e+10
       40.271703   4.0795097e+10
       40.738028   4.1292592e+10
       41.209752   4.1774545e+10
       41.686938   4.2244902e+10
       42.169650   4.2700919e+10
       42.657952   4.3136464e+10
       43.151908   4.3566413e+10
       43.651583   4.3984792e+10
       44.157045   4.4391224e+10
       44.668359   4.4781208e+10
       45.185594   4.5162797e+10
       45.708819   4.5533757e+10
       46.238102   4.5891318e+10
       46.773514   4.6239945e+10
       47.315126   4.6579548e+10
       47.863009   4.6901296e+10
       48.417237   4.7221677e+10
       48.977882   4.7526684e+10
       49.545019   4.7812132e+10
       50.118723   4.8097989e+10
       50.699071   4.8377477e+10
       51.286138   4.8652389e+10
       51.880004   4.8892180e+10
       52.480746   4.9157435e+10
       53.088444   4.9391090e+10
